"author_location","author_name","business_id","business_name","created_date","language","rating","reactions/helpful","reactions/love_this","reactions/oh_no","reactions/thanks","review_id","text"
"San Jose, CA","Lisa T.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-14T23:56:23-07:00","en","4","0","0","0","0","BuXhDbmzogozA3RoIjqcJg","Really felt that Southern love at Fixins! I ordered the shrimp and grits and adults kool-aid and it was the perfect meal after a long day. The roux was really good and complemented the grits. I also thought the texture of the grits was perfect -- creamy, velvety, thick, yet you can still taste the grains. The staff were welcoming and our server made sure our table was taken care of. Everything from their menu sounded delicious, we'll definitely be back to try other food items!"
"Antelope, CA","Lamont W.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-14T01:17:36-07:00","en","2","1","0","1","1","7CzdSDBf0K0pXQ3wWwvFvw","First and foremost the restaurant is clean and the staff were nice, they had really good attitudes in my opinion and thats always a plus for me. Unfortunately I have to rate this restaurant a 2 star, and those stars go to the staff, there the only reason this is not a zero star review. I had heard good things about the food but I was not impressed not one bit. We had the Ox Tail plate with rice gravy and greens. The oxtail was fork tender but lacked that good seasoning and spice, it actually had a sweet flavor that I was not expecting. The greens were good and I would order them again. I also ordered the fried fish plate, I was told it was Catfish (Its not Catfish), with Mac and cheese and potato. The fish was ok but the Mac was best thing on the plate. Just to wrap this up, fixins may have been fire at some point but they did not give there best  performance today."
"Vallejo, CA","Chira E.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-01T11:54:48-08:00","en","3","3","2","1","1","S2T0icCaVHR9J-kHMG78qg","It saddens me to give Fixins 3 stars. They are more deserving of 3.5, yet not quite a 4 for me. The food was solid, but not a standout. 

I pulled up on a busy Sunday and thankfully there was a seat at the bar. To drink, I ordered the Uncle Nearest Strawberry Cooler and to nibble on, I went with the fish nuggets and fried green tomatoes. The fish itself was mild in flavor and the coating was seasoned well. The tomatoes were overly seasoned in my opinion. This is just a personal preference, the seasoning was similar to what you would find on a fried fish. This is a great option for vegetarians.

The service was good, although the wrong order was put in for me and I had to wait some time for my fish nuggets. Meh, mistakes happen. I may go back to try something different because my overall meal was one note, although good, but not great."
"Castro Valley, CA","Carson M.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-12-31T19:03:22-08:00","en","5","0","0","0","0","JqS7GwTRhR0VTT48jHnCKg","Really cozy interior paired with great service and good food! Made a reservation for NYE lunch but came in a bit early and was able to be seated. There's a bar inside too, so that's nice if you want to grab a drink!

I ordered the smothered chicken, and the server mentioned getting it with boneless chicken thigh. They were HUGE! It came with two pieces, and each piece was the size of an adult hand and also fairly thick. Smothered chicken comes with two sides, so I opted for collard greens and Mac and cheese. Collard greens were salted well, and the Mac and cheese was on the thicker side (just how I like it). 

Didn't get to try dessert but would gladly come back for the great service, taste, and portion size."
"CA, CA","Mameikko Y.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-26T15:10:34-08:00","en","3","1","0","0","0","ipk2AXuejD3xdhn6wovvFw","I was genuinely thrilled to sample some food. I was particularly eager to taste that crispy chicken that they showcased on social media, along with all the positive reviews from others. 

The atmosphere felt clean and inviting, accompanied by music. We arrived early in the morning when they opened, and after about 15 to 20 minutes of waiting, we received our food. 

The waffle was decent but not crispy; it was soft instead. I had hoped the waffle would be crispy on the outside, but it came with all the toppings like butter and syrup. When the chicken was served, I was really looking forward to trying it. 

The chicken was quite flavorful, but it didn't have the crispiness I had envisioned. If the chicken had been a bit crispy on the outside, that would have been fantastic, but it turned out to be soggy. 

The sides of sweet potatoes or candied yams were delicious, although they seemed to have a lot of butter, as there was oil pooling in the bowl. 

This The greens were also very tasty, along with their mac & cheese."
"Dunthorpe, OR","Anthony A.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-11-11T16:50:11-08:00","en","4","4","3","0","2","b29mwRHLdWkALjyfu8e8PA","Fixins Soul Kitchen brings the comfort, flavor, and energy you want in a true soul food experience. From the moment you walk in, the vibe is lively -- great music, friendly staff, and the smell of fried chicken and waffles in the air.

The food? Outstanding. The fried chicken is perfectly crispy and juicy, the mac and cheese is creamy with that baked crust on top, and the collard greens hit that perfect balance of smoky and savory. The cornbread is a must -- slightly sweet, soft inside, and served warm. Portion sizes are generous, and everything tastes made from scratch.

Service is upbeat and professional even when it's busy -- and it does get busy. The staff keeps the energy positive and makes sure everyone feels welcome. The décor gives off a modern twist on Southern comfort -- clean, bright, and full of character that reflects Oak Park's community spirit.

It's the kind of place you come for good food but stay for the vibe. Whether it's brunch, dinner, or a casual weekend stop, Fixins delivers the flavor and warmth that makes soul food special."
"Sacramento, CA","Sheree H.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-10T18:27:34-08:00","en","5","16","13","0","5","tHI-oWNQWXtwD5N7CK4IgQ","Early Weekend lunch with Bae @ Fixins is always a relaxing vibe. We've been coming here every now and then since they opened in 2019. I love the music and friendly atmosphere. The wait staff is always very pleasant and sometimes you'll run into other celebrities at this celebrity owned establishment. Kevin Johnson opened his first Fixins Soul Kitchen in the heart of Sacramento, where he resides in Oak Park. As the former mayor of Sacramento, an All-Star NBA player and fellow Sac High Dragon, Kevin Johnson opened Fixins to Operate Around 5 Core Values: Delicious Food, On-Point Service, Spotless Stores, Tight Operations and Community Love.

My go/to ""lil bits"" is the cornmeal fried green tomatoes with a smoky chipotle mayo, very fresh and tasty and the perfect starter to any meal. And the star of the show is the golden fried chicken which is brined in a buttermilk marinade for 24Hours. The fried chicken is so crispy and juicy! The best fried chicken in Sacramento. You can also get it smothered in gravy if you prefer. The two sides that come with the fried chicken are called ""Fixins"" and there are plenty to choose from. Such as collard greens, Mac n cheese, black eyed peas, potato salad, French fries candied yams, Cole slaw, fried okra and grits. The classic buttermilk biscuits are also incredible. We Complimented our meal with an Adult Kool Aid, an alcoholic beverage made with vodka for an extra kick!

With delicious family recipes and boozy kool aid cocktails, this trendy restaurant is definitely top 10 spots in Sacramento, stop by and support local."
"San Rafael, CA","Camela S.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-10T22:26:00-08:00","en","4","0","0","0","0","_ktpvoeRxhwZQwlP6FpbmQ","I've visited many times and initially I wasn't a fan but I've officially been won over. 

This visit I made a reservation to avoid long wait times, and it was successful. My reservation was at 12 p.m. and I was seated by 12:05 p.m. 

I ordered fried chicken, with red beans and rice and greens. The food was delicious."
"Sacramento, CA","Susan B.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-11T10:30:35-08:00","en","4","0","0","0","0","iuvUKLP6FngONzQ3xRBxqA","Everyone was really friendly!  The Mac and cheese was perhaps the best I've ever had in a restaurant!!

The fried green tomatoes were beautiful to look at and average tasting - not tangy enough tomatoes and the breading and other flavors were just meh.  

The banana pudding is way over priced.  It was fine, but a small serving and $11.  I should have tried the red velvet cake instead.

$45 for iced tea, a side of Mac and cheese, fried green tomato app, banana pudding, and tip.  Unfortunately, it's too rich for my blood."
"Sacramento, CA","Whitney C.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-27T18:31:31-08:00","en","4","0","1","0","0","e-qL2LHqnHiucTZXmvIS2g","Really really good chicken, fish, Mac n cheese, shrimp, collard greens, etc etc. the staff is so helpful and friendly, service is fast, it's kid and family friendly. Huge sodas which I love. My baby had fun, my family had fun"
"Folsom, CA","Selina E.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-09T20:03:20-07:00","en","5","0","0","1","0","V-R6KkMVGjeVTkYttxv0Eg","Second trip and it was juuuuuust as good as I remembered. First time I got fried chicken with 3 sides (macaroni and cheese, candied yams, & greens) and it was amazing. We stumbled on Fixins during the Sunday Bri ch rush and got lucky with a bar seat. The service was great, the drinks were expensive but tasty. 

Today we brought our kids and tried the fried fish plate. Dammmnmnnnn that was good! 

I could make a meal out of the sides alone. 

Everything is delicious. The hype is real. Just go and enjoy every calorie."
"San Francisco, CA","Katharine Y.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-06T13:53:36-08:00","en","5","0","0","0","0","SLb7Aw10p7x1_D8VI8nxcg","We've ordered from here more than one time now and the flavor were consisted, rich oxtail stew with nice sauce or juice from the meat. Uhmm so mouth watering. The sides were good too. Fast and quick service even if it's a To Go order. The staff were friendly with a welcoming environment. We'll definitely be coming back with family and friends next time."
"Sacramento, CA","Angela D.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-26T15:16:31-07:00","en","5","0","0","0","0","GgjH_61JSCWu-0Gfm2yHHw","The shrimp and grits and the fried chicken were 10/10. Our server Kim was so amazing!!"
"Sacramento, CA","Alex R.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-11-08T12:09:10-08:00","en","4","0","0","0","1","Ohua3V73tWqFcjXS9eFW2A","I think this is a great staple for breakfast, lunch, and dinner in the Oak Park area. Been here a few times, but I would like to review my most recent breakfast experience. Overall, I've always enjoyed my experience here. The blue plate special was great. I always scramble my eggs, but I appreciated the handmade turkey sausage. The chicken and waffles was awesome. I appreciate that the chicken breast was not overcooked. It was juicy, while the skin was flaky and crispy. Bette than your standard  Popeyes or KFC. I forgot to ask what type of butter they had on the waffle, but it was phenomenal.

The service is great. I find that everyone is very friendly. It is also pretty quick if I may say. However, there can be a line for dinner and for brunch on Sundays so be prepared to wait.

It has a pretty modern aesthetic inside. There's a modern meets rustic vibe going on. However, my favorite place is outside. I think they have a lovely patio. It is spacious, ample greenery, and heat lamps if you need it. Love that they always have sports on. For my hip-hop and R&B lovers, there is always a great playlist. Always. 

Have I had better southern food? Yes, which is why I can't give it the 5, but this place is worth revisiting and is very quality."
"Lincoln, CA","Deb L.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-06T17:09:43-08:00","en","5","0","0","0","0","ThMkd2IDGF343H8Fsk8qhw","3/3/26 update - made it back with my mom and still so so delicious and amazing service from Terri! Tonight also had fried deviled eggs, fried green tomatoes, collared greens and coleslaw. The bathrooms were so clean it was as though no one had used them.  And I was able to wish the man himself a Happy Birthday! :) 
Finally made it! Yayyyy 
Everything was amazing...one server, not our server, never smiled, maybe not having a great day, but we still smiled. 
Our server was a sweetheart! Everyone was, except the one. Hope their day got better (when they got off work :)).  I love the pictures in the restaurant and the history from Kevin was great to read.  Even the bathrooms were clean and well maintained! 
The food was as amazing as I've been told. Can't wait to take my mom when she recovers from her surgery and my son in law when he is back home. Thank you Fixins for a fabulous visit! See you soon!"
"Sacramento, CA","Ida J.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-11-08T12:27:19-08:00","en","4","1","0","0","0","iGoNN6LTd9mpT3ekhvA8OA","Right in the heart of Oak Park southern style comfort food and made fresh! The Mac and cheese was flavorful and loaded with cheese. I also had the oxtails and the portions were generous. My only con was they were a tad bit sweet for my taste as I prefer a more savory and spicy kind of oxtails but overall not bad. 

We had a group of 6 or so and they can only seat you if half of the group is there. If you have to wait you can always snag a drink at the bar while waiting. 

I highly recommend making a reservation for the weekends because it is very busy and the wait for walking in can be long."
"Davis, CA","Tex W.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-02-21T16:08:13-08:00","en","5","0","0","0","0","ROr_ht0c5E8BD8EsTzYP8Q","Came to Fixins during Black History Month and it felt like the perfect time to support and experience it. The vibe was warm, lively, and full of culture.

I ordered the hot chicken sandwich and I'm not going to lie, it was way spicier than I expected. But in a good way. It had real heat, not just flavorless spice. Crispy, juicy, and definitely not playing around. If you're sensitive to spice, just know they mean it when they say ""hot.""

Shoutout to our server, Isabella. She was kind, attentive, and genuinely awesome. She checked in at the right times and made sure we had everything we needed without hovering.

Overall, great food, strong flavors, and great service. I'll definitely be back -- maybe next time I'll mentally prepare for that heat."
"Roseville, CA","Clarissa P.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-07T16:40:46-08:00","en","5","0","0","0","0","ipyVSCcIUhAKQtmWU5pADw","The best southern food you can get! I think we ordered half the menu and everything was amazing! Great service and atmosphere. We were sat in the back room area which was great bc we had someone with us hard of hearing and it was much quieter back there."
"Anaheim, CA","Charlie L.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-11-08T14:46:42-08:00","en","4","1","0","0","0","5cZadrjxdeguEHloM2EF2g","Came here for dinner w my husband on a Friday night around 6:30pm. We were seated right away and our waitress took our appetizer order shortly after. 

The restaurant is pretty spacious. We ordered fried green tomatoes, oxtail + Mac n cheese, and 2 piece fried chicken (thighs), + collard greens + candied yams. 

I can see why they call themselves fixins soul kitchen. Their fixins are rly good!! I personally think the ox tail was ok, but the fried chicken was yummy. I loved the biscuit and butter it came w. And I loved the fried green tomatoes. 

The food was suuuper heavy haha but if you're craving soul food, give this place a try!"
"Sacramento, CA","Tiara B.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-12-03T00:01:30-08:00","en","5","3","2","0","1","8CP2VfeayR0c3chQvZ7Vqg","Updating my previous review from a year ago. I dined in at Fixins Soul Kitchen on a weekday for lunch and I had a great experience and can't wait to return again soon! 

So first, my mom and I received amazing customer service! From the hostess to Aunt Pearl stopping by to say hello and then to our server, Kim. Everyone was welcoming and friendly! I had a sweet tea to drink and it was so good! We ordered two fried fish plates and everything was absolutely delicious! Hot and fresh and didn't take long to come out to our table. You also get large portion sizes and will likely have some to take home. 

Overall, I'm so happy to have supported this black owned restaurant again! I highly recommend if you're looking for soul food in Sacramento. Can't wait to bring more out of town family and friends to Fixins!"
"Carlsbad, CA","Megan C.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-10-22T10:25:12-07:00","en","4","1","3","1","1","-fCyfnHE5Jb-cSbSPi-Rqw","The vibe of this place is so cute and the restaurant layout and decorations itself is very homey. 

I ordered the 2 piece chicken, I love that you can choose what part of the chicken you want. I got a side of Mac n cheese and fries. Overall the meal is very tasty, I think it might be a little salty for my preferences though. The biscuit with the sweet butter was a good way to offset the saltiness. 

Service was friendly and food came out quick"
"Sacramento, CA","john h.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-06T10:18:30-08:00","en","4","0","0","0","0","Dgu7-lcC1P16rkLwdsi-lQ","Came in on a Monday about 11:00.  I was the second customer of the day.  I ordered the oxtails with a side of red beans & rice.  The oxtails came with a delicious gravy and rice.  I had oxtails only one other time in a risotto.  I was surprised that the oxtails had the texture of pot roast, it was good.  The decor is really nice, service was excellent."
"Sacramento, CA","Melissa G.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-10-16T19:40:47-07:00","en","5","1","2","0","1","paA-N89x58M4y6luzJHN2Q","I came to Fixin's on a Thursday evening around 5 PM, and my party of two got seated right away, great start. There's parking out front, but it's on a busy street strip, and the restaurant is tucked in with several other stores, which made it look smaller from the outside. However, once inside, it's surprisingly spacious with a bar area and outdoor seating as well.

We ordered from the happy hour menu, the mac & cheese balls and beef sliders ($8 each), plus a side of French fries, their biscuits (which come with a strawberry or raspberry butter that's delicious), and the candied yams. The yams were buttery, soft, and flavorful, though they don't come with marshmallows on top, just a heads up if you're expecting that classic topping.

The mac & cheese balls came with four pieces and a cheese sauce. They were really flavorful, bite-sized (about two bites each), and I only wish they were a bit bigger. The fries were seasoned perfectly, crispy on the outside and soft inside. The sliders were solid, simple and tasty, served with pickles on the side along with mustard and ketchup.

Overall, I really enjoyed my visit. The food was a hit, the service was quick, and the vibe was great. I definitely plan on coming back to try more items!"
"Vacaville, CA","Karen C.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-09-26T14:08:15-07:00","en","3","0","1","0","0","y5aDaVw-JN9DN7wWatd6CA","3.5 stars. Good music, decent food, and great service! Our server Alondra was attentive and friendly. She was there when we needed her but she wasn't a nuisance. We would come back for her service alone.

We tried the fried deviled eggs and they were interesting. A great dipping sauce would send those over the top. 

Our entrees were the oxtails and gumbo. Oxtails were plentiful, and both tender and chewy. They came with blackeyed peas that stole the show. The gumbo came with the best corn bread muffin ever! I chose to add shrimp to the gumbo but it wasn't cooked with the dish so the gumbo didn't have that gumbo (filet), seafood flavor. It had a nice roux however and even contained okra. All food was plated nicely, arrived quickly, and was hot.

For dessert we had red velvet cake and peach cobbler. The cobbler was the bomb the next day. Put it in the microwave and loved it. The cake was stale, and had a bit too much salt but the frosting tasted good.

We took Mrs. Ruth's Plate to go. It consisted of 3 sides. We chose red beans & rice, macaroni & cheese, and yams. The sides were small but were pretty tasty! 

Overall we would give them another chance if in the area.

."
"Mather, CA","Ellie A.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-22T12:02:04-07:00","en","5","0","0","0","0","dBoOeoQlh_To5l_0Ew9RvQ","This place has amazing service, amazing lemonade but the best chicken and waffles we've ever tasted!!! Super good. A must try Sacramento spot. The only downside is parking, but that's not the restaurants fault. Parking is not so easy to find."
"Anaheim, CA","Karl F.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-14T09:56:51-08:00","en","3","0","0","2","0","iQ-s6WXNgt0IqnlGcDXAbw","Food was good. We ordered the fried chicken and some sides and the chicken and waffles. The sides tasted great. The fried chicken was cooked well. The taste of the fried chicken was salty for my palate. It was edible but not my preferred fried chicken taste. I look forward to trying other items on the menu. 

The service, from my experience needs improvement. Our server J@€ was not friendly. He looked irritated from the moment he introduced himself, when he took our orders, and until we left. He wasn't disrespectful but no smiles nor welcoming attitude. I'm not sure if he was having a bad day or something else. It looked like he did not want to be there. The whole experience made our group uncomfortable. 

The ambiance was nice. There were booths and table seating as well as a choice of indoor or outdoor. The restroom was clean and well maintained. 

Will I be back? Probably not."
"San Francisco, CA","Diane L.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2025-10-11T16:40:56-07:00","en","5","0","0","0","0","WbB8kPpKGJBcW77pPcVuxQ","This was our 1st time eating here. The service was great, very quick. 
We started with an order of fried deviled eggs, she ordered the gumbo, I ordered oxtails with a side of collard greens, we shared a side of Mac-n-cheese. 
We washed it all down with Arnold Palmer's made with sweet tea. 
In total our order came up to $94.62
Next time we return we want to try their chicken and waffles. The chicken looked really good as we saw it coming out the kitchen. 
The owner had a beautiful collection of family photos and the story of their journey to Sacramento on the wall. 
Support Black business!
Get to Fixins!!"
"Vacaville, CA","Daniel H.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-01-13T20:09:43-08:00","en","5","1","1","0","1","hx2YzW6ZZMNfOm_sj1ggyA","It is incredibly hard locating a good soul place that we enjoy but thankfully we stumbled across Fixins. This place is great! Good flavors, everything is well seasoned. The only negative at times are the wait times but if you can make it happen on a week day then it shouldn't be too bad. Definitely worth trying if you haven't! Pictured is their Shrimp N Grits."
"Elk Grove, CA","Ken S.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-05T22:32:53-08:00","en","5","0","1","0","1","0r1foWCy5VQUDgXKjTzCWA","My daughter has been trying to get me to try this place. Tonight before the Kings game we decided to go. She had the smothered chicken with mac & cheese and I had the smothered pork chop with mac & cheese. Must say they were both delicious. I'm going back to try their gumbo next! We got there about 5 o'clock and they were packed already, but good thing we had reservations. Service was great!"
"Oakdale, CA","Savannah S.","myoaFyZ9RIG_p2rkOQiWlA","Fixins Soul Kitchen","2026-03-22T14:38:58-07:00","en","5","0","0","0","0","-GIgyrLccvfD9tSs4lNatw","Super nice staff! Loved the family story in the hallway! Our group of 7 had fried deviled eggs, corn muffin, kids Mac n cheese and chicken strips, fried fish plate with red beans and rice, coleslaw, potato salad, shrimp and grits, and the chicken sandwich. Everything was phenomenal! I see why it was packed! Pro tip, get a reservation if you don't want to wait. Once we were seated, drinks and food came out quickly. 

Highly recommend! Can't wait to try again."
